v,e,algoType,runtime
3,2,0,6
3,2,1,2
3,2,0,7
3,2,1,4
3,3,0,7
3,3,1,4
3,3,0,6
3,3,1,4
103,102,0,133
103,102,1,12
103,102,0,90
103,102,1,5
103,125,0,139
103,125,1,16
103,153,0,73
103,153,1,11
103,187,0,119
103,187,1,59
103,228,0,69
103,228,1,31
103,278,0,125
103,278,1,78
103,339,0,65
103,339,1,146
103,413,0,68
103,413,1,114
103,503,0,106
103,503,1,194
103,613,0,71
103,613,1,344
103,747,0,110
103,747,1,522
103,910,0,80
103,910,1,527
103,1109,0,74
103,1109,1,916
103,1351,0,74
103,1351,1,1093
103,1646,0,77
103,1646,1,1111
103,2005,0,94
103,2005,1,1767
103,2442,0,101
103,2442,1,1782
103,2974,0,155
103,2974,1,2219
103,3622,0,145
103,3622,1,2783
103,4412,0,90
103,4412,1,3512
103,5253,0,77
103,5253,1,5484
203,202,0,238
203,202,1,23
203,202,0,385
203,202,1,9
203,255,0,377
203,255,1,13
203,322,0,277
203,322,1,23
203,406,0,357
203,406,1,19
203,512,0,332
203,512,1,128
203,646,0,330
203,646,1,123
203,814,0,334
203,814,1,290
203,1026,0,198
203,1026,1,391
203,1293,0,189
203,1293,1,518
203,1630,0,213
203,1630,1,755
203,2054,0,339
203,2054,1,1164
203,2588,0,352
203,2588,1,1357
203,3261,0,211
203,3261,1,2407
203,4109,0,230
203,4109,1,3073
203,5177,0,257
203,5177,1,3664
203,6523,0,288
203,6523,1,5067
203,8219,0,328
203,8219,1,6596
203,10355,0,369
203,10355,1,9192
203,13046,0,348
203,13046,1,11620
203,16437,0,289
203,16437,1,14430
203,20503,0,219
203,20503,1,18455
303,302,0,463
303,302,1,18
303,302,0,784
303,302,1,21
303,389,0,743
303,389,1,27
303,501,0,423
303,501,1,25
303,644,0,560
303,644,1,28
303,828,0,396
303,828,1,120
303,1065,0,417
303,1065,1,203
303,1369,0,415
303,1369,1,530
303,1760,0,368
303,1760,1,743
303,2263,0,392
303,2263,1,1019
303,2909,0,693
303,2909,1,1368
303,3740,0,700
303,3740,1,1674
303,4808,0,399
303,4808,1,3166
303,6180,0,434
303,6180,1,4232
303,7944,0,486
303,7944,1,6269
303,10211,0,549
303,10211,1,8019
303,13125,0,633
303,13125,1,10633
303,16871,0,666
303,16871,1,14432
303,21686,0,954
303,21686,1,20455
303,27875,0,768
303,27875,1,26328
303,35830,0,596
303,35830,1,35093
303,45753,0,494
303,45753,1,44419
403,402,0,726
403,402,1,12
403,402,0,1277
403,402,1,29
403,525,0,1246
403,525,1,34
403,685,0,1233
403,685,1,73
403,894,0,1219
403,894,1,32
403,1166,0,1199
403,1166,1,98
403,1521,0,1207
403,1521,1,178
403,1984,0,686
403,1984,1,646
403,2587,0,1154
403,2587,1,1127
403,3373,0,599
403,3373,1,1954
403,4398,0,602
403,4398,1,2285
403,5735,0,667
403,5735,1,3995
403,7478,0,759
403,7478,1,5348
403,9750,0,750
403,9750,1,6818
403,12713,0,803
403,12713,1,10460
403,16576,0,886
403,16576,1,13824
403,21612,0,965
403,21612,1,18814
403,28178,0,1233
403,28178,1,25616
403,36739,0,1348
403,36739,1,35196
403,47901,0,1333
403,47901,1,47526
403,62454,0,1109
403,62454,1,63376
403,81003,0,814
403,81003,1,82111
503,502,0,1165
503,502,1,16
503,502,0,1591
503,502,1,15
503,662,0,1156
503,662,1,33
503,873,0,1211
503,873,1,21
503,1151,0,1040
503,1151,1,58
503,1518,0,924
503,1518,1,191
503,2002,0,1763
503,2002,1,538
503,2640,0,960
503,2640,1,837
503,3481,0,985
503,3481,1,1332
503,4590,0,980
503,4590,1,2533
503,6052,0,1013
503,6052,1,4366
503,7979,0,984
503,7979,1,5060
503,10520,0,1081
503,10520,1,7268
503,13869,0,1097
503,13869,1,10096
503,18285,0,1264
503,18285,1,10494
503,24106,0,683
503,24106,1,10545
503,31780,0,768
503,31780,1,16391
503,41897,0,981
503,41897,1,20996
503,55235,0,1050
503,55235,1,28227
503,72819,0,1039
503,72819,1,37863
503,96001,0,857
503,96001,1,50369
503,126253,0,702
503,126253,1,68460
603,602,0,1408
603,602,1,15
603,602,0,1381
603,602,1,8
603,801,0,1296
603,801,1,28
603,1066,0,791
603,1066,1,15
603,1419,0,1289
603,1419,1,31
603,1888,0,1272
603,1888,1,247
603,2512,0,722
603,2512,1,450
603,3342,0,674
603,3342,1,570
603,4447,0,805
603,4447,1,1173
603,5917,0,726
603,5917,1,1755
603,7872,0,1289
603,7872,1,3405
603,10473,0,720
603,10473,1,3588
603,13933,0,774
603,13933,1,4985
603,18536,0,846
603,18536,1,7354
603,24660,0,882
603,24660,1,10355
603,32807,0,999
603,32807,1,15894
603,43645,0,1034
603,43645,1,20477
603,58063,0,1189
603,58063,1,28172
603,77244,0,1411
603,77244,1,38939
603,102762,0,1467
603,102762,1,55695
603,136709,0,1238
603,136709,1,73575
603,181503,0,885
603,181503,1,103737
703,702,0,1858
703,702,1,11
703,702,0,1820
703,702,1,5
703,942,0,1043
703,942,1,35
703,1263,0,1770
703,1263,1,31
703,1694,0,1043
703,1694,1,99
703,2271,0,1740
703,2271,1,298
703,3045,0,842
703,3045,1,394
703,4083,0,845
703,4083,1,451
703,5474,0,1133
703,5474,1,733
703,7339,0,920
703,7339,1,2291
703,9839,0,994
703,9839,1,3241
703,13191,0,1752
703,13191,1,4225
703,17684,0,1011
703,17684,1,6618
703,23708,0,1122
703,23708,1,9692
703,31783,0,1125
703,31783,1,14113
703,42609,0,1391
703,42609,1,19847
703,57122,0,1454
703,57122,1,28835
703,76578,0,1666
703,76578,1,37150
703,102660,0,1951
703,102660,1,54720
703,137626,0,2069
703,137626,1,73173
703,184501,0,1700
703,184501,1,104421
703,246753,0,1261
703,246753,1,140989
803,802,0,2348
803,802,1,24
803,802,0,1332
803,802,1,8
803,1083,0,2315
803,1083,1,15
803,1462,0,2270
803,1462,1,17
803,1974,0,1298
803,1974,1,88
803,2664,0,1156
803,2664,1,335
803,3596,0,1682
803,3596,1,485
803,4853,0,2092
803,4853,1,706
803,6550,0,1160
803,6550,1,1902
803,8840,0,1256
803,8840,1,2803
803,11930,0,1425
803,11930,1,3202
803,16100,0,1245
803,16100,1,5601
803,21728,0,1367
803,21728,1,9434
803,29323,0,1493
803,29323,1,12344
803,39573,0,1537
803,39573,1,17947
803,53406,0,1652
803,53406,1,26096
803,72074,0,1773
803,72074,1,35829
803,97267,0,2133
803,97267,1,51936
803,131266,0,2489
803,131266,1,69130
803,177149,0,2680
803,177149,1,99100
803,239069,0,2298
803,239069,1,134900
803,322003,0,1719
803,322003,1,188713
903,902,0,2924
903,902,1,17
903,902,0,1586
903,902,1,8
903,1225,0,1636
903,1225,1,38
903,1663,0,1763
903,1663,1,27
903,2258,0,1561
903,2258,1,115
903,3066,0,1448
903,3066,1,253
903,4163,0,1570
903,4163,1,375
903,5652,0,1420
903,5652,1,1206
903,7673,0,1491
903,7673,1,1884
903,10416,0,1483
903,10416,1,3621
903,14140,0,1718
903,14140,1,4401
903,19195,0,1472
903,19195,1,5778
903,26057,0,1661
903,26057,1,10079
903,35372,0,1784
903,35372,1,16004
903,48017,0,1913
903,48017,1,21614
903,65183,0,2087
903,65183,1,30854
903,88485,0,2363
903,88485,1,45797
903,120117,0,2492
903,120117,1,62937
903,163057,0,3065
903,163057,1,88279
903,221347,0,3434
903,221347,1,122708
903,300474,0,3146
903,300474,1,171845
903,407253,0,2367
903,407253,1,242118
1003,1002,0,3615
1003,1002,1,8
1003,1002,0,1977
1003,1002,1,14
1003,1368,0,2226
1003,1368,1,26
1003,1867,0,2992
1003,1867,1,31
1003,2548,0,1943
1003,2548,1,111
1003,3478,0,3423
1003,3478,1,630
1003,4747,0,3532
1003,4747,1,473
1003,6478,0,3470
1003,6478,1,1212
1003,8841,0,3549
1003,8841,1,4248
1003,12065,0,3600
1003,12065,1,6508
1003,16465,0,3534
1003,16465,1,9771
1003,22469,0,3793
1003,22469,1,17060
1003,30662,0,3980
1003,30662,1,25787
1003,41843,0,4002
1003,41843,1,37098
1003,57101,0,4383
1003,57101,1,54296
1003,77922,0,5039
1003,77922,1,75062
1003,106335,0,5637
1003,106335,1,109397
1003,145108,0,6344
1003,145108,1,151588
1003,198019,0,7728
1003,198019,1,215943
1003,270222,0,8161
1003,270222,1,307276
1003,368752,0,6787
1003,368752,1,421875
1003,502503,0,2592
1003,502503,1,303261
1103,1102,0,2244
1103,1102,1,18
1103,1102,0,2719
1103,1102,1,10
1103,1511,0,2412
1103,1511,1,11
1103,2072,0,2389
1103,2072,1,19
1103,2841,0,2981
1103,2841,1,82
1103,3896,0,2912
1103,3896,1,562
1103,5342,0,2329
1103,5342,1,492
1103,7325,0,2135
1103,7325,1,1749
1103,10044,0,2505
1103,10044,1,2384
1103,13772,0,2398
1103,13772,1,3116
1103,18884,0,2236
1103,18884,1,7042
1103,25893,0,2461
1103,25893,1,10811
1103,35503,0,2539
1103,35503,1,14664
1103,48680,0,2449
1103,48680,1,21562
1103,66747,0,2828
1103,66747,1,31909
1103,91519,0,2925
1103,91519,1,47085
1103,125485,0,3259
1103,125485,1,65282
1103,172056,0,3765
1103,172056,1,93540
1103,235911,0,4475
1103,235911,1,133625
1103,323464,0,5167
1103,323464,1,184505
1103,443510,0,4334
1103,443510,1,265361
1103,607753,0,3156
1103,607753,1,372503
1203,1202,0,3314
1203,1202,1,7
1203,1202,0,2807
1203,1202,1,8
1203,1656,0,3035
1203,1656,1,35
1203,2281,0,2693
1203,2281,1,73
1203,3142,0,2622
1203,3142,1,163
1203,4327,0,3011
1203,4327,1,155
1203,5959,0,2633
1203,5959,1,610
1203,8207,0,2558
1203,8207,1,1662
1203,11302,0,2640
1203,11302,1,2374
1203,15564,0,2676
1203,15564,1,4916
1203,21434,0,2866
1203,21434,1,6621
1203,29517,0,2561
1203,29517,1,11607
1203,40648,0,2703
1203,40648,1,17434
1203,55976,0,3085
1203,55976,1,26024
1203,77084,0,3431
1203,77084,1,38025
1203,106152,0,3587
1203,106152,1,51667
1203,146181,0,4277
1203,146181,1,78587
1203,201305,0,4594
1203,201305,1,111943
1203,277215,0,5569
1203,277215,1,157845
1203,381750,0,6168
1203,381750,1,228559
1203,525704,0,5227
1203,525704,1,319067
1203,723003,0,3821
1203,723003,1,454891
1303,1302,0,3476
1303,1302,1,17
1303,1302,0,3625
1303,1302,1,21
1303,1801,0,3049
1303,1801,1,18
1303,2491,0,3065
1303,2491,1,6
1303,3445,0,3133
1303,3445,1,108
1303,4764,0,3043
1303,4764,1,329
1303,6587,0,5604
1303,6587,1,1095
1303,9108,0,3344
1303,9108,1,1386
1303,12593,0,3510
1303,12593,1,3525
1303,17412,0,3098
1303,17412,1,5157
1303,24074,0,3013
1303,24074,1,9348
1303,33285,0,3307
1303,33285,1,13180
1303,46020,0,3679
1303,46020,1,20756
1303,63628,0,3525
1303,63628,1,28622
1303,87972,0,3830
1303,87972,1,44452
1303,121630,0,3949
1303,121630,1,63669
1303,168166,0,4604
1303,168166,1,90707
1303,232506,0,5144
1303,232506,1,130810
1303,321463,0,6387
1303,321463,1,183213
1303,444454,0,7039
1303,444454,1,267160
1303,614501,0,5790
1303,614501,1,376478
1303,848253,0,4501
1303,848253,1,561691
1403,1402,0,3792
1403,1402,1,12
1403,1402,0,6896
1403,1402,1,16
1403,1946,0,3683
1403,1946,1,9
1403,2701,0,3621
1403,2701,1,67
1403,3749,0,4562
1403,3749,1,165
1403,5203,0,3477
1403,5203,1,309
1403,7221,0,5489
1403,7221,1,597
1403,10021,0,3476
1403,10021,1,2341
1403,13907,0,3599
1403,13907,1,2922
1403,19300,0,3478
1403,19300,1,4928
1403,26783,0,3480
1403,26783,1,8884
1403,37168,0,3634
1403,37168,1,15447
1403,51579,0,3745
1403,51579,1,23026
1403,71578,0,4491
1403,71578,1,32594
1403,99331,0,4431
1403,99331,1,47982
1403,137844,0,4740
1403,137844,1,74346
1403,191289,0,5276
1403,191289,1,112931
1403,265456,0,5867
1403,265456,1,161614
1403,368379,0,7333
1403,368379,1,226643
1403,511207,0,8328
1403,511207,1,312050
1403,709412,0,6917
1403,709412,1,453918
1403,983503,0,5226
1403,983503,1,634565
1503,1502,0,4739
1503,1502,1,11
1503,1502,0,4169
1503,1502,1,10
1503,2092,0,4340
1503,2092,1,4
1503,2914,0,3988
1503,2914,1,91
1503,4058,0,5195
1503,4058,1,123
1503,5651,0,4011
1503,5651,1,1082
1503,7870,0,3962
1503,7870,1,608
1503,10960,0,4169
1503,10960,1,1470
1503,15262,0,4161
1503,15262,1,4251
1503,21253,0,4203
1503,21253,1,6530
1503,29595,0,4150
1503,29595,1,10826
1503,41212,0,4029
1503,41212,1,14223
1503,57388,0,4401
1503,57388,1,24822
1503,79914,0,4682
1503,79914,1,39381
1503,111281,0,5286
1503,111281,1,57615
1503,154960,0,5354
1503,154960,1,84245
1503,215783,0,6151
1503,215783,1,124005
1503,300479,0,7075
1503,300479,1,177685
1503,418419,0,8314
1503,418419,1,249693
1503,582651,0,9466
1503,582651,1,354692
1503,811344,0,7944
1503,811344,1,530554
1503,1128753,0,5733
1503,1128753,1,722337
1603,1602,0,7387
1603,1602,1,17
1603,1602,0,5297
1603,1602,1,36
1603,2238,0,4648
1603,2238,1,32
1603,3127,0,4684
1603,3127,1,28
1603,4369,0,5522
1603,4369,1,260
1603,6104,0,5006
1603,6104,1,550
1603,8528,0,4281
1603,8528,1,534
1603,11914,0,4826
1603,11914,1,1519
1603,16644,0,4462
1603,16644,1,3433
1603,23252,0,4877
1603,23252,1,7107
1603,32483,0,4389
1603,32483,1,12317
1603,45379,0,4464
1603,45379,1,18470
1603,63395,0,5168
1603,63395,1,26781
1603,88563,0,5550
1603,88563,1,42949
1603,123723,0,5425
1603,123723,1,63469
1603,172841,0,6086
1603,172841,1,94027
1603,241459,0,6684
1603,241459,1,135584
1603,337318,0,8128
1603,337318,1,203485
1603,471232,0,9233
1603,471232,1,278802
1603,658310,0,10947
1603,658310,1,397994
1603,919657,0,8955
1603,919657,1,585995
1603,1284003,0,6246
1603,1284003,1,853250
1703,1702,0,5575
1703,1702,1,17
1703,1702,0,5660
1703,1702,1,17
1703,2385,0,5278
1703,2385,1,13
1703,3342,0,5257
1703,3342,1,106
1703,4683,0,7533
1703,4683,1,103
1703,6562,0,5195
1703,6562,1,587
1703,9195,0,5093
1703,9195,1,1396
1703,12885,0,5145
1703,12885,1,2459
1703,18055,0,4832
1703,18055,1,3754
1703,25300,0,5246
1703,25300,1,7714
1703,35452,0,5115
1703,35452,1,13626
1703,49677,0,5652
1703,49677,1,20935
1703,69609,0,5747
1703,69609,1,30024
1703,97539,0,5855
1703,97539,1,47521
1703,136675,0,6322
1703,136675,1,70343
1703,191514,0,6747
1703,191514,1,100966
1703,268356,0,7427
1703,268356,1,148924
1703,376029,0,8830
1703,376029,1,218795
1703,526903,0,10258
1703,526903,1,323476
1703,738312,0,12166
1703,738312,1,464067
1703,1034545,0,10069
1703,1034545,1,656800
1703,1449253,0,7232
1703,1449253,1,969314
1803,1802,0,6186
1803,1802,1,27
1803,1802,0,6985
1803,1802,1,21
1803,2533,0,6011
1803,2533,1,18
1803,3560,0,5919
1803,3560,1,90
1803,5003,0,5941
1803,5003,1,250
1803,7031,0,5830
1803,7031,1,258
1803,9881,0,5707
1803,9881,1,1297
1803,13886,0,5642
1803,13886,1,2373
1803,19514,0,5476
1803,19514,1,4609
1803,27422,0,6196
1803,27422,1,8754
1803,38535,0,5717
1803,38535,1,13998
1803,54151,0,7002
1803,54151,1,24248
1803,76095,0,5980
1803,76095,1,34142
1803,106932,0,6389
1803,106932,1,54665
1803,150265,0,7117
1803,150265,1,74751
1803,211158,0,7596
1803,211158,1,116541
1803,296727,0,8221
1803,296727,1,174547
1803,416971,0,9763
1803,416971,1,250373
1803,585942,0,11283
1803,585942,1,370709
1803,823385,0,13742
1803,823385,1,517535
1803,1157048,0,11348
1803,1157048,1,765058
1803,1624503,0,8179
1803,1624503,1,1131193
1903,1902,0,8314
1903,1902,1,9
1903,1902,0,6632
1903,1902,1,20
1903,2680,0,9438
1903,2680,1,31
1903,3777,0,6661
1903,3777,1,152
1903,5322,0,6329
1903,5322,1,104
1903,7499,0,6569
1903,7499,1,602
1903,10567,0,6974
1903,10567,1,694
1903,14890,0,6210
1903,14890,1,3103
1903,20981,0,6792
1903,20981,1,5228
1903,29563,0,6394
1903,29563,1,11556
1903,41656,0,6407
1903,41656,1,15502
1903,58695,0,7082
1903,58695,1,24495
1903,82704,0,6818
1903,82704,1,38514
1903,116533,0,7478
1903,116533,1,55476
1903,164199,0,7618
1903,164199,1,86488
1903,231362,0,8160
1903,231362,1,130500
1903,325997,0,10007
1903,325997,1,186443
1903,459340,0,11054
1903,459340,1,283354
1903,647225,0,12746
1903,647225,1,412347
1903,911960,0,15080
1903,911960,1,612975
1903,1284980,0,12825
1903,1284980,1,899781
1903,1809753,0,9118
1903,1809753,1,1218555
3,2,0,4
3,2,1,2
3,2,0,3
3,2,1,2
3,3,0,3
3,3,1,2
3,3,0,3
3,3,1,3
103,102,0,38
103,102,1,3
103,102,0,69
103,102,1,7
103,125,0,40
103,125,1,3
103,153,0,38
103,153,1,13
103,187,0,61
103,187,1,21
103,228,0,42
103,228,1,25
103,278,0,53
103,278,1,53
103,339,0,53
103,339,1,60
103,413,0,33
103,413,1,101
103,503,0,31
103,503,1,70
103,613,0,58
103,613,1,141
103,747,0,57
103,747,1,157
103,910,0,56
103,910,1,306
103,1109,0,36
103,1109,1,450
103,1351,0,45
103,1351,1,524
103,1646,0,45
103,1646,1,720
103,2005,0,70
103,2005,1,903
103,2442,0,76
103,2442,1,870
103,2974,0,77
103,2974,1,1084
103,3622,0,72
103,3622,1,1611
103,4412,0,64
103,4412,1,2043
103,5253,0,34
103,5253,1,2164
203,202,0,190
203,202,1,15
203,202,0,192
203,202,1,5
203,255,0,193
203,255,1,10
203,322,0,97
203,322,1,21
203,406,0,178
203,406,1,20
203,512,0,177
203,512,1,49
203,646,0,166
203,646,1,83
203,814,0,164
203,814,1,195
203,1026,0,103
203,1026,1,232
203,1293,0,165
203,1293,1,255
203,1630,0,91
203,1630,1,372
203,2054,0,168
203,2054,1,780
203,2588,0,106
203,2588,1,747
203,3261,0,186
203,3261,1,1447
203,4109,0,144
203,4109,1,1648
203,5177,0,134
203,5177,1,1869
203,6523,0,146
203,6523,1,2476
203,8219,0,163
203,8219,1,3497
203,10355,0,171
203,10355,1,4264
203,13046,0,165
203,13046,1,5714
203,16437,0,141
203,16437,1,7680
203,20503,0,108
203,20503,1,9735
303,302,0,386
303,302,1,9
303,302,0,381
303,302,1,9
303,389,0,200
303,389,1,21
303,501,0,362
303,501,1,16
303,644,0,204
303,644,1,11
303,828,0,342
303,828,1,127
303,1065,0,344
303,1065,1,147
303,1369,0,189
303,1369,1,194
303,1760,0,408
303,1760,1,334
303,2263,0,338
303,2263,1,403
303,2909,0,341
303,2909,1,984
303,3740,0,255
303,3740,1,1243
303,4808,0,367
303,4808,1,1907
303,6180,0,245
303,6180,1,2213
303,7944,0,404
303,7944,1,3132
303,10211,0,302
303,10211,1,4262
303,13125,0,293
303,13125,1,5945
303,16871,0,340
303,16871,1,7029
303,21686,0,603
303,21686,1,10055
303,27875,0,372
303,27875,1,13213
303,35830,0,315
303,35830,1,17190
303,45753,0,232
303,45753,1,23066
403,402,0,647
403,402,1,9
403,402,0,647
403,402,1,10
403,525,0,630
403,525,1,24
403,685,0,614
403,685,1,56
403,894,0,377
403,894,1,59
403,1166,0,587
403,1166,1,74
403,1521,0,517
403,1521,1,145
403,1984,0,658
403,1984,1,288
403,2587,0,581
403,2587,1,507
403,3373,0,326
403,3373,1,666
403,4398,0,320
403,4398,1,1359
403,5735,0,362
403,5735,1,1786
403,7478,0,357
403,7478,1,2545
403,9750,0,371
403,9750,1,4359
403,12713,0,691
403,12713,1,4801
403,16576,0,495
403,16576,1,6849
403,21612,0,514
403,21612,1,9606
403,28178,0,565
403,28178,1,13192
403,36739,0,690
403,36739,1,17523
403,47901,0,655
403,47901,1,23584
403,62454,0,523
403,62454,1,34168
403,81003,0,440
403,81003,1,43912
503,502,0,971
503,502,1,15
503,502,0,967
503,502,1,9
503,662,0,948
503,662,1,19
503,873,0,927
503,873,1,26
503,1151,0,905
503,1151,1,38
503,1518,0,500
503,1518,1,158
503,2002,0,435
503,2002,1,302
503,2640,0,882
503,2640,1,249
503,3481,0,444
503,3481,1,899
503,4590,0,555
503,4590,1,565
503,6052,0,487
503,6052,1,1956
503,7979,0,484
503,7979,1,2902
503,10520,0,553
503,10520,1,3582
503,13869,0,604
503,13869,1,5441
503,18285,0,1058
503,18285,1,7898
503,24106,0,675
503,24106,1,10792
503,31780,0,793
503,31780,1,14607
503,41897,0,884
503,41897,1,20194
503,55235,0,1065
503,55235,1,28600
503,72819,0,1012
503,72819,1,37763
503,96001,0,822
503,96001,1,50216
503,126253,0,611
503,126253,1,68331
603,602,0,1357
603,602,1,11
603,602,0,1373
603,602,1,8
603,801,0,745
603,801,1,15
603,1066,0,1383
603,1066,1,20
603,1419,0,748
603,1419,1,79
603,1888,0,702
603,1888,1,185
603,2512,0,1249
603,2512,1,144
603,3342,0,658
603,3342,1,879
603,4447,0,750
603,4447,1,1382
603,5917,0,859
603,5917,1,1948
603,7872,0,647
603,7872,1,2594
603,10473,0,681
603,10473,1,3510
603,13933,0,733
603,13933,1,5411
603,18536,0,814
603,18536,1,7741
603,24660,0,880
603,24660,1,10936
603,32807,0,900
603,32807,1,15277
603,43645,0,1178
603,43645,1,20457
603,58063,0,1259
603,58063,1,28140
603,77244,0,1413
603,77244,1,39151
603,102762,0,1491
603,102762,1,54529
603,136709,0,1198
603,136709,1,73435
603,181503,0,919
603,181503,1,99192
703,702,0,1825
703,702,1,16
703,702,0,1825
703,702,1,16
703,942,0,989
703,942,1,12
703,1263,0,1753
703,1263,1,29
703,1694,0,1725
703,1694,1,161
703,2271,0,958
703,2271,1,159
703,3045,0,852
703,3045,1,249
703,4083,0,972
703,4083,1,647
703,5474,0,1031
703,5474,1,1313
703,7339,0,888
703,7339,1,2122
703,9839,0,1725
703,9839,1,3860
703,13191,0,1008
703,13191,1,4794
703,17684,0,1030
703,17684,1,6690
703,23708,0,1411
703,23708,1,10352
703,31783,0,1185
703,31783,1,14240
703,42609,0,1191
703,42609,1,19202
703,57122,0,1462
703,57122,1,28001
703,76578,0,1632
703,76578,1,38194
703,102660,0,2019
703,102660,1,52308
703,137626,0,2162
703,137626,1,75095
703,184501,0,1685
703,184501,1,104290
703,246753,0,1282
703,246753,1,145938
803,802,0,1382
803,802,1,17
803,802,0,1257
803,802,1,5
803,1083,0,2320
803,1083,1,10
803,1462,0,1239
803,1462,1,21
803,1974,0,1954
803,1974,1,97
803,2664,0,1214
803,2664,1,236
803,3596,0,1173
803,3596,1,497
803,4853,0,1266
803,4853,1,532
803,6550,0,1214
803,6550,1,2071
803,8840,0,1147
803,8840,1,2644
803,11930,0,1182
803,11930,1,4344
803,16100,0,1290
803,16100,1,5214
803,21728,0,1232
803,21728,1,8585
803,29323,0,1317
803,29323,1,13261
803,39573,0,1513
803,39573,1,17069
803,53406,0,1656
803,53406,1,24736
803,72074,0,1765
803,72074,1,36807
803,97267,0,2265
803,97267,1,51428
803,131266,0,2627
803,131266,1,72627
803,177149,0,2688
803,177149,1,98763
803,239069,0,2422
803,239069,1,140851
803,322003,0,1693
803,322003,1,203818
903,902,0,2941
903,902,1,9
903,902,0,1594
903,902,1,15
903,1225,0,1903
903,1225,1,29
903,1663,0,1446
903,1663,1,45
903,2258,0,1403
903,2258,1,61
903,3066,0,1536
903,3066,1,221
903,4163,0,1549
903,4163,1,441
903,5652,0,1417
903,5652,1,564
903,7673,0,1473
903,7673,1,1625
903,10416,0,1542
903,10416,1,2888
903,14140,0,1568
903,14140,1,4154
903,19195,0,1545
903,19195,1,6557
903,26057,0,1701
903,26057,1,10654
903,35372,0,2098
903,35372,1,16699
903,48017,0,1772
903,48017,1,22956
903,65183,0,2035
903,65183,1,32199
903,88485,0,2235
903,88485,1,45150
903,120117,0,2598
903,120117,1,66328
903,163057,0,3116
903,163057,1,87026
903,221347,0,3371
903,221347,1,137843
903,300474,0,2827
903,300474,1,184981
903,407253,0,2080
903,407253,1,264894
1003,1002,0,3609
1003,1002,1,9
1003,1002,0,1985
1003,1002,1,18
1003,1368,0,1837
1003,1368,1,20
1003,1867,0,3026
1003,1867,1,36
1003,2548,0,2697
1003,2548,1,75
1003,3478,0,3408
1003,3478,1,195
1003,4747,0,2779
1003,4747,1,616
1003,6478,0,1791
1003,6478,1,1245
1003,8841,0,1668
1003,8841,1,1855
1003,12065,0,1878
1003,12065,1,4190
1003,16465,0,1791
1003,16465,1,5687
1003,22469,0,1998
1003,22469,1,8750
1003,30662,0,2175
1003,30662,1,13706
1003,41843,0,2151
1003,41843,1,18739
1003,57101,0,2622
1003,57101,1,28754
1003,77922,0,2685
1003,77922,1,36524
1003,106335,0,2866
1003,106335,1,58253
1003,145108,0,3222
1003,145108,1,82247
1003,198019,0,3767
1003,198019,1,108381
1003,270222,0,4194
1003,270222,1,155280
1003,368752,0,3538
1003,368752,1,218075
1003,502503,0,2734
1003,502503,1,330248
1103,1102,0,2420
1103,1102,1,22
1103,1102,0,3385
