v,e,algoType,runtime
1103,1102,1,2
1103,1511,0,2361
1103,1511,1,47
1103,2072,0,2376
1103,2072,1,15
1103,2841,0,2126
1103,2841,1,111
1103,3896,0,2136
1103,3896,1,143
1103,5342,0,2085
1103,5342,1,316
1103,7325,0,2244
1103,7325,1,1716
1103,10044,0,2271
1103,10044,1,2638
1103,13772,0,2364
1103,13772,1,4209
1103,18884,0,2250
1103,18884,1,6578
1103,25893,0,2372
1103,25893,1,8743
1103,35503,0,2482
1103,35503,1,14466
1103,48680,0,2533
1103,48680,1,21224
1103,66747,0,2794
1103,66747,1,32947
1103,91519,0,2996
1103,91519,1,48292
1103,125485,0,3326
1103,125485,1,67639
1103,172056,0,3886
1103,172056,1,98799
1103,235911,0,4509
1103,235911,1,134968
1103,323464,0,5317
1103,323464,1,187891
1103,443510,0,4332
1103,443510,1,288177
1103,607753,0,3085
1103,607753,1,376200
1203,1202,0,5053
1203,1202,1,15
1203,1202,0,5082
1203,1202,1,17
1203,1656,0,5053
1203,1656,1,10
1203,2281,0,4974
1203,2281,1,46
1203,3142,0,4081
1203,3142,1,185
1203,4327,0,4837
1203,4327,1,105
1203,5959,0,2971
1203,5959,1,877
1203,8207,0,2744
1203,8207,1,1554
1203,11302,0,2615
1203,11302,1,2993
1203,15564,0,2792
1203,15564,1,4018
1203,21434,0,2860
1203,21434,1,7895
1203,29517,0,2728
1203,29517,1,11522
1203,40648,0,2659
1203,40648,1,18329
1203,55976,0,3255
1203,55976,1,25747
1203,77084,0,3246
1203,77084,1,38243
1203,106152,0,6694
1203,106152,1,103834
1203,146181,0,7789
1203,146181,1,154479
1203,201305,0,8710
1203,201305,1,218892
1203,277215,0,10484
1203,277215,1,312352
1203,381750,0,11939
1203,381750,1,437019
1203,525704,0,9930
1203,525704,1,318598
1203,723003,0,3698
1203,723003,1,452113
1303,1302,0,4545
1303,1302,1,7
1303,1302,0,5602
1303,1302,1,14
1303,1801,0,5876
1303,1801,1,20
1303,2491,0,4909
1303,2491,1,37
1303,3445,0,3134
1303,3445,1,97
1303,4764,0,3043
1303,4764,1,311
1303,6587,0,3066
1303,6587,1,1164
1303,9108,0,3077
1303,9108,1,1418
1303,12593,0,3021
1303,12593,1,3448
1303,17412,0,3019
1303,17412,1,5958
1303,24074,0,3238
1303,24074,1,8578
1303,33285,0,3350
1303,33285,1,13548
1303,46020,0,3389
1303,46020,1,20524
1303,63628,0,3766
1303,63628,1,29174
1303,87972,0,4089
1303,87972,1,44262
1303,121630,0,4352
1303,121630,1,68300
1303,168166,0,4532
1303,168166,1,91706
1303,232506,0,5438
1303,232506,1,129555
1303,321463,0,6317
1303,321463,1,181258
1303,444454,0,7076
1303,444454,1,265692
1303,614501,0,5794
1303,614501,1,374231
1303,848253,0,4337
1303,848253,1,537442
1403,1402,0,5744
1403,1402,1,5
1403,1402,0,4762
1403,1402,1,19
1403,1946,0,3537
1403,1946,1,23
1403,2701,0,3675
1403,2701,1,45
1403,3749,0,3504
1403,3749,1,54
1403,5203,0,3522
1403,5203,1,329
1403,7221,0,3380
1403,7221,1,1076
1403,10021,0,3505
1403,10021,1,1713
1403,13907,0,3609
1403,13907,1,4459
1403,19300,0,3453
1403,19300,1,5370
1403,26783,0,3641
1403,26783,1,9430
1403,37168,0,3577
1403,37168,1,13907
1403,51579,0,3802
1403,51579,1,17156
1403,71578,0,3913
1403,71578,1,33290
1403,99331,0,4318
1403,99331,1,49317
1403,137844,0,4793
1403,137844,1,72552
1403,191289,0,5085
1403,191289,1,104970
1403,265456,0,5913
1403,265456,1,161489
1403,368379,0,7262
1403,368379,1,216157
1403,511207,0,8617
1403,511207,1,312127
1403,709412,0,6871
1403,709412,1,489917
1403,983503,0,4962
1403,983503,1,708074
1503,1502,0,4197
1503,1502,1,15
1503,1502,0,4151
1503,1502,1,7
1503,2092,0,4059
1503,2092,1,27
1503,2914,0,3944
1503,2914,1,56
1503,4058,0,4160
1503,4058,1,372
1503,5651,0,4079
1503,5651,1,351
1503,7870,0,7568
1503,7870,1,1390
1503,10960,0,8051
1503,10960,1,4243
1503,15262,0,7968
1503,15262,1,8051
1503,21253,0,7925
1503,21253,1,12248
1503,29595,0,7927
1503,29595,1,21389
1503,41212,0,9099
1503,41212,1,29955
1503,57388,0,8632
1503,57388,1,48550
1503,79914,0,8720
1503,79914,1,74602
1503,111281,0,10493
1503,111281,1,107633
1503,154960,0,10339
1503,154960,1,152116
1503,215783,0,11562
1503,215783,1,232305
1503,300479,0,13020
1503,300479,1,335162
1503,418419,0,15617
1503,418419,1,285604
1503,582651,0,9413
1503,582651,1,352276
1503,811344,0,7747
1503,811344,1,538094
1503,1128753,0,5652
1503,1128753,1,795973
1603,1602,0,4642
1603,1602,1,20
1603,1602,0,4697
1603,1602,1,12
1603,2238,0,4786
1603,2238,1,34
1603,3127,0,8770
1603,3127,1,56
1603,4369,0,4866
1603,4369,1,291
1603,6104,0,6667
1603,6104,1,154
1603,8528,0,4472
1603,8528,1,544
1603,11914,0,4388
1603,11914,1,2465
1603,16644,0,4386
1603,16644,1,5082
1603,23252,0,4609
1603,23252,1,8042
1603,32483,0,4570
1603,32483,1,10289
1603,45379,0,4879
1603,45379,1,20142
1603,63395,0,4856
1603,63395,1,28084
1603,88563,0,5341
1603,88563,1,45417
1603,123723,0,5736
1603,123723,1,62859
1603,172841,0,6107
1603,172841,1,94234
1603,241459,0,6602
1603,241459,1,131522
1603,337318,0,7536
1603,337318,1,213640
1603,471232,0,10585
1603,471232,1,278520
1603,658310,0,10872
1603,658310,1,413086
1603,919657,0,17980
1603,919657,1,1143135
1603,1284003,0,12514
1603,1284003,1,916675
1703,1702,0,5512
1703,1702,1,30
1703,1702,0,5268
1703,1702,1,15
1703,2385,0,5347
1703,2385,1,24
1703,3342,0,7555
1703,3342,1,41
1703,4683,0,5693
1703,4683,1,91
1703,6562,0,5183
1703,6562,1,268
1703,9195,0,5082
1703,9195,1,833
1703,12885,0,5258
1703,12885,1,2749
1703,18055,0,5662
1703,18055,1,4482
1703,25300,0,5055
1703,25300,1,8449
1703,35452,0,5209
1703,35452,1,13322
1703,49677,0,5913
1703,49677,1,19468
1703,69609,0,5664
1703,69609,1,33177
1703,97539,0,5487
1703,97539,1,52139
1703,136675,0,6630
1703,136675,1,71970
1703,191514,0,6765
1703,191514,1,99722
1703,268356,0,7859
1703,268356,1,146291
1703,376029,0,8612
1703,376029,1,218331
1703,526903,0,10391
1703,526903,1,317189
1703,738312,0,11936
1703,738312,1,509958
1703,1034545,0,11585
1703,1034545,1,667069
1703,1449253,0,7392
1703,1449253,1,959039
1803,1802,0,5868
1803,1802,1,19
1803,1802,0,5992
1803,1802,1,24
1803,2533,0,5842
1803,2533,1,20
1803,3560,0,5576
1803,3560,1,36
1803,5003,0,5810
1803,5003,1,116
1803,7031,0,5775
1803,7031,1,195
1803,9881,0,6404
1803,9881,1,1100
1803,13886,0,5793
1803,13886,1,2151
1803,19514,0,5627
1803,19514,1,5778
1803,27422,0,5730
1803,27422,1,7145
1803,38535,0,5761
1803,38535,1,15384
1803,54151,0,6050
1803,54151,1,27386
1803,76095,0,6092
1803,76095,1,33657
1803,106932,0,7359
1803,106932,1,54176
1803,150265,0,7346
1803,150265,1,79346
1803,211158,0,7635
1803,211158,1,114816
1803,296727,0,9132
1803,296727,1,169097
1803,416971,0,9521
1803,416971,1,276012
1803,585942,0,22294
1803,585942,1,697884
1803,823385,0,26866
1803,823385,1,1020947
1803,1157048,0,22115
1803,1157048,1,1472918
1803,1624503,0,8398
1803,1624503,1,1087082
1903,1902,0,6694
1903,1902,1,7
1903,1902,0,6441
1903,1902,1,13
1903,2680,0,6851
1903,2680,1,21
1903,3777,0,6904
1903,3777,1,14
1903,5322,0,6617
1903,5322,1,175
1903,7499,0,6600
1903,7499,1,322
1903,10567,0,6281
1903,10567,1,1721
1903,14890,0,6362
1903,14890,1,3010
1903,20981,0,6321
1903,20981,1,6053
1903,29563,0,6600
1903,29563,1,9846
1903,41656,0,6676
1903,41656,1,15003
1903,58695,0,6532
1903,58695,1,24483
1903,82704,0,7163
1903,82704,1,38423
1903,116533,0,8150
1903,116533,1,61647
1903,164199,0,7846
1903,164199,1,85431
1903,231362,0,8103
1903,231362,1,124923
1903,325997,0,9425
1903,325997,1,195992
1903,459340,0,10858
1903,459340,1,269431
1903,647225,0,12984
1903,647225,1,427695
1903,911960,0,17846
1903,911960,1,574645
1903,1284980,0,14077
1903,1284980,1,837195
1903,1809753,0,8779
1903,1809753,1,1371851
3,2,0,3
3,2,1,2
3,2,0,4
3,2,1,2
3,3,0,3
3,3,1,3
3,3,0,3
3,3,1,3
103,102,0,67
103,102,1,8
103,102,0,42
103,102,1,8
103,125,0,71
103,125,1,10
103,153,0,61
103,153,1,3
103,187,0,58
103,187,1,13
103,228,0,56
103,228,1,4
103,278,0,39
103,278,1,35
103,339,0,48
103,339,1,43
103,413,0,54
103,413,1,88
103,503,0,52
103,503,1,118
103,613,0,32
103,613,1,146
103,747,0,39
103,747,1,265
103,910,0,42
103,910,1,221
103,1109,0,60
103,1109,1,438
103,1351,0,42
103,1351,1,506
103,1646,0,65
103,1646,1,679
103,2005,0,46
103,2005,1,650
103,2442,0,76
103,2442,1,1126
103,2974,0,51
103,2974,1,1103
103,3622,0,75
103,3622,1,1416
103,4412,0,65
103,4412,1,1811
103,5253,0,57
103,5253,1,2139
203,202,0,188
203,202,1,11
203,202,0,129
203,202,1,14
203,255,0,185
203,255,1,3
203,322,0,104
203,322,1,29
203,406,0,176
203,406,1,40
203,512,0,93
203,512,1,28
203,646,0,124
203,646,1,63
203,814,0,86
203,814,1,146
203,1026,0,165
203,1026,1,192
203,1293,0,93
203,1293,1,388
203,1630,0,167
203,1630,1,402
203,2054,0,95
203,2054,1,460
203,2588,0,113
203,2588,1,830
203,3261,0,111
203,3261,1,1053
203,4109,0,195
203,4109,1,1588
203,5177,0,158
203,5177,1,1915
203,6523,0,144
203,6523,1,2642
203,8219,0,160
203,8219,1,3345
203,10355,0,180
203,10355,1,4507
203,13046,0,161
203,13046,1,5464
203,16437,0,162
203,16437,1,8164
203,20503,0,141
203,20503,1,9971
303,302,0,376
303,302,1,12
303,302,0,384
303,302,1,6
303,389,0,247
303,389,1,15
303,501,0,385
303,501,1,32
303,644,0,355
303,644,1,67
303,828,0,347
303,828,1,79
303,1065,0,333
303,1065,1,87
303,1369,0,362
303,1369,1,320
303,1760,0,172
303,1760,1,329
303,2263,0,338
303,2263,1,721
303,2909,0,225
303,2909,1,790
303,3740,0,220
303,3740,1,1243
303,4808,0,366
303,4808,1,1851
303,6180,0,266
303,6180,1,2428
303,7944,0,251
303,7944,1,3069
303,10211,0,258
303,10211,1,4341
303,13125,0,304
303,13125,1,5901
303,16871,0,392
303,16871,1,7516
303,21686,0,392
303,21686,1,10113
303,27875,0,408
303,27875,1,13549
303,35830,0,318
303,35830,1,18038
303,45753,0,238
303,45753,1,25505
403,402,0,646
403,402,1,11
403,402,0,644
403,402,1,7
403,525,0,631
403,525,1,13
403,685,0,319
403,685,1,30
403,894,0,606
403,894,1,72
403,1166,0,589
403,1166,1,56
403,1521,0,586
403,1521,1,55
403,1984,0,409
403,1984,1,325
403,2587,0,591
403,2587,1,630
403,3373,0,449
403,3373,1,756
403,4398,0,352
403,4398,1,1245
403,5735,0,349
403,5735,1,2104
403,7478,0,356
403,7478,1,3590
403,9750,0,400
403,9750,1,3544
403,12713,0,418
403,12713,1,4871
403,16576,0,466
403,16576,1,7244
403,21612,0,509
403,21612,1,10223
403,28178,0,606
403,28178,1,13107
403,36739,0,643
403,36739,1,17862
403,47901,0,669
403,47901,1,23375
403,62454,0,552
403,62454,1,32172
403,81003,0,475
403,81003,1,42337
503,502,0,970
503,502,1,6
503,502,0,964
503,502,1,10
503,662,0,569
503,662,1,6
503,873,0,509
503,873,1,18
503,1151,0,496
503,1151,1,41
503,1518,0,907
503,1518,1,63
503,2002,0,655
503,2002,1,143
503,2640,0,578
503,2640,1,489
503,3481,0,880
503,3481,1,707
503,4590,0,475
503,4590,1,1615
503,6052,0,532
503,6052,1,2339
503,7979,0,573
503,7979,1,2957
503,10520,0,525
503,10520,1,3392
503,13869,0,774
503,13869,1,5613
503,18285,0,618
503,18285,1,7070
503,24106,0,827
503,24106,1,10365
503,31780,0,818
503,31780,1,15252
503,41897,0,891
503,41897,1,19619
503,55235,0,1007
503,55235,1,27969
503,72819,0,1041
503,72819,1,36805
503,96001,0,859
503,96001,1,49698
503,126253,0,626
503,126253,1,68585
603,602,0,1072
603,602,1,11
603,602,0,756
603,602,1,17
603,801,0,738
603,801,1,12
603,1066,0,1303
603,1066,1,12
603,1419,0,774
603,1419,1,42
603,1888,0,1300
603,1888,1,126
603,2512,0,642
603,2512,1,353
603,3342,0,740
603,3342,1,588
603,4447,0,1252
603,4447,1,918
603,5917,0,1257
603,5917,1,1411
603,7872,0,804
603,7872,1,2319
603,10473,0,724
603,10473,1,3879
603,13933,0,780
603,13933,1,5680
603,18536,0,856
603,18536,1,7549
603,24660,0,901
603,24660,1,10931
603,32807,0,952
603,32807,1,14251
603,43645,0,1129
603,43645,1,20706
603,58063,0,1291
603,58063,1,30783
603,77244,0,1459
603,77244,1,38070
603,102762,0,1504
603,102762,1,56677
603,136709,0,1213
603,136709,1,83936
603,181503,0,1211
603,181503,1,101418
703,702,0,1820
703,702,1,10
703,702,0,1545
703,702,1,12
703,942,0,942
703,942,1,26
703,1263,0,1767
703,1263,1,26
703,1694,0,1272
703,1694,1,44
703,2271,0,938
703,2271,1,232
703,3045,0,933
703,3045,1,316
703,4083,0,882
703,4083,1,899
703,5474,0,971
703,5474,1,826
703,7339,0,832
703,7339,1,1768
703,9839,0,954
703,9839,1,2791
703,13191,0,984
703,13191,1,4582
703,17684,0,1006
703,17684,1,6245
703,23708,0,1122
703,23708,1,10027
703,31783,0,1198
703,31783,1,13814
703,42609,0,1244
703,42609,1,20931
703,57122,0,1438
703,57122,1,28325
703,76578,0,1589
703,76578,1,39586
703,102660,0,1940
703,102660,1,57512
703,137626,0,2071
703,137626,1,73829
703,184501,0,1750
703,184501,1,100852
703,246753,0,1306
703,246753,1,141564
803,802,0,2336
803,802,1,11
803,802,0,2352
803,802,1,20
803,1083,0,1738
803,1083,1,12
803,1462,0,2265
803,1462,1,45
803,1974,0,1275
803,1974,1,64
803,2664,0,2219
803,2664,1,241
803,3596,0,1292
803,3596,1,286
803,4853,0,1500
803,4853,1,1186
803,6550,0,1192
803,6550,1,1510
803,8840,0,1186
803,8840,1,2258
803,11930,0,1211
803,11930,1,4516
803,16100,0,1199
803,16100,1,5562
803,21728,0,1356
803,21728,1,8968
803,29323,0,1420
803,29323,1,12802
803,39573,0,1409
803,39573,1,18167
803,53406,0,1663
803,53406,1,26113
803,72074,0,1868
803,72074,1,34940
803,97267,0,2135
803,97267,1,50790
803,131266,0,2448
803,131266,1,70286
803,177149,0,2686
803,177149,1,98502
803,239069,0,2347
803,239069,1,156123
803,322003,0,1813
803,322003,1,187735
903,902,0,2927
903,902,1,14
903,902,0,1558
903,902,1,11
903,1225,0,1543
903,1225,1,12
903,1663,0,1399
903,1663,1,70
903,2258,0,2807
903,2258,1,64
903,3066,0,1461
903,3066,1,113
903,4163,0,1479
903,4163,1,535
903,5652,0,1503
903,5652,1,1719
903,7673,0,1444
903,7673,1,2425
903,10416,0,1538
903,10416,1,2355
903,14140,0,1510
903,14140,1,4733
903,19195,0,1555
903,19195,1,6828
903,26057,0,1649
903,26057,1,11091
903,35372,0,1708
903,35372,1,15129
903,48017,0,2005
903,48017,1,22460
903,65183,0,2018
903,65183,1,31730
903,88485,0,2319
903,88485,1,45580
903,120117,0,2855
903,120117,1,64895
903,163057,0,3079
903,163057,1,89401
903,221347,0,3518
903,221347,1,140229
903,300474,0,3019
903,300474,1,174234
903,407253,0,2169
903,407253,1,244727
1003,1002,0,2035
1003,1002,1,3
1003,1002,0,1992
1003,1002,1,17
1003,1368,0,2268
1003,1368,1,10
1003,1867,0,1948
1003,1867,1,29
1003,2548,0,2010
1003,2548,1,63
1003,3478,0,1973
1003,3478,1,593
1003,4747,0,2631
1003,4747,1,344
1003,6478,0,3370
1003,6478,1,755
1003,8841,0,2194
1003,8841,1,2499
1003,12065,0,2019
1003,12065,1,2999
1003,16465,0,1992
1003,16465,1,6600
1003,22469,0,2002
1003,22469,1,7173
1003,30662,0,1992
1003,30662,1,14401
1003,41843,0,2117
1003,41843,1,18148
1003,57101,0,2356
1003,57101,1,25623
1003,77922,0,2570
1003,77922,1,38182
1003,106335,0,3255
1003,106335,1,56152
1003,145108,0,3106
1003,145108,1,80109
1003,198019,0,3953
1003,198019,1,126201
1003,270222,0,4706
1003,270222,1,151869
1003,368752,0,3518
1003,368752,1,251157
1003,502503,0,2619
1003,502503,1,344881
1103,1102,0,4313
1103,1102,1,9
1103,1102,0,2444
1103,1102,1,7
1103,1511,0,2417
1103,1511,1,37
1103,2072,0,2227
1103,2072,1,33
1103,2841,0,2622
1103,2841,1,75
1103,3896,0,2236
1103,3896,1,391
1103,5342,0,3873
1103,5342,1,636
1103,7325,0,2141
1103,7325,1,1397
1103,10044,0,2232
1103,10044,1,2007
1103,13772,0,2289
1103,13772,1,5318
1103,18884,0,2212
1103,18884,1,7328
1103,25893,0,2424
1103,25893,1,8999
1103,35503,0,2310
1103,35503,1,14170
1103,48680,0,2624
1103,48680,1,22775
1103,66747,0,2730
1103,66747,1,32517
1103,91519,0,2964
1103,91519,1,47847
1103,125485,0,3248
1103,125485,1,75092
1103,172056,0,4023
1103,172056,1,94820
1103,235911,0,4458
1103,235911,1,154406
1103,323464,0,5115
1103,323464,1,187387
1103,443510,0,4243
1103,443510,1,307084
1103,607753,0,3088
1103,607753,1,373477
1203,1202,0,2821
1203,1202,1,14
1203,1202,0,2693
1203,1202,1,10
1203,1656,0,2779
1203,1656,1,34
1203,2281,0,2733
1203,2281,1,20
1203,3142,0,2740
1203,3142,1,143
1203,4327,0,2608
1203,4327,1,178
1203,5959,0,2744
1203,5959,1,1103
1203,8207,0,4125
1203,8207,1,1653
1203,11302,0,2582
1203,11302,1,2961
1203,15564,0,2547
1203,15564,1,4398
1203,21434,0,2662
1203,21434,1,6556
1203,29517,0,2950
1203,29517,1,11035
1203,40648,0,3162
1203,40648,1,16579
1203,55976,0,3137
1203,55976,1,27575
1203,77084,0,3350
1203,77084,1,40706
1203,106152,0,3839
1203,106152,1,53460
1203,146181,0,3904
1203,146181,1,77915
1203,201305,0,4530
1203,201305,1,124062
1203,277215,0,6834
1203,277215,1,158434
1203,381750,0,6477
1203,381750,1,229409
1203,525704,0,4945
1203,525704,1,362750
1203,723003,0,7112
1203,723003,1,880148
1303,1302,0,6622
1303,1302,1,24
1303,1302,0,6255
1303,1302,1,35
1303,1801,0,6336
1303,1801,1,59
1303,2491,0,6166
1303,2491,1,62
1303,3445,0,6164
1303,3445,1,267
1303,4764,0,5943
1303,4764,1,1037
1303,6587,0,6096
1303,6587,1,1601
1303,9108,0,5524
1303,9108,1,4442
1303,12593,0,5786
1303,12593,1,6381
1303,17412,0,6982
1303,17412,1,11546
1303,24074,0,5856
1303,24074,1,16718
1303,33285,0,6083
1303,33285,1,27491
1303,46020,0,6276
1303,46020,1,36505
1303,63628,0,6743
1303,63628,1,59364
1303,87972,0,7414
1303,87972,1,84587
1303,121630,0,7799
1303,121630,1,124278
1303,168166,0,8824
1303,168166,1,176468
1303,232506,0,5270
1303,232506,1,137342
1303,321463,0,6408
1303,321463,1,205809
1303,444454,0,9190
1303,444454,1,263171
1303,614501,0,6138
1303,614501,1,371046
1303,848253,0,4377
1303,848253,1,535649
1403,1402,0,3787
1403,1402,1,16
1403,1402,0,3741
1403,1402,1,18
1403,1946,0,3645
1403,1946,1,6
1403,2701,0,3740
1403,2701,1,66
1403,3749,0,3647
1403,3749,1,82
1403,5203,0,3450
1403,5203,1,374
1403,7221,0,3939
1403,7221,1,960
1403,10021,0,3229
1403,10021,1,1333
1403,13907,0,3400
1403,13907,1,3212
1403,19300,0,3407
1403,19300,1,6440
1403,26783,0,3459
1403,26783,1,8969
1403,37168,0,3534
1403,37168,1,15199
1403,51579,0,3873
1403,51579,1,22383
1403,71578,0,4015
1403,71578,1,34166
1403,99331,0,4502
1403,99331,1,55475
1403,137844,0,4988
1403,137844,1,81470
1403,191289,0,5106
1403,191289,1,116479
1403,265456,0,5945
1403,265456,1,148315
1403,368379,0,7000
1403,368379,1,241775
1403,511207,0,8272
1403,511207,1,348821
1403,709412,0,7487
1403,709412,1,519816
1403,983503,0,9590
1403,983503,1,1236616
1503,1502,0,8460
1503,1502,1,39
1503,1502,0,8307
1503,1502,1,79
1503,2092,0,8511
1503,2092,1,68
1503,2914,0,8127
1503,2914,1,104
1503,4058,0,8105
1503,4058,1,142
1503,5651,0,8151
1503,5651,1,822
1503,7870,0,7633
1503,7870,1,1218
1503,10960,0,15091
1503,10960,1,5066
1503,15262,0,8008
1503,15262,1,7500
1503,21253,0,7587
1503,21253,1,12779
1503,29595,0,7743
1503,29595,1,23130
1503,41212,0,8826
1503,41212,1,34355
1503,57388,0,8995
1503,57388,1,49765
1503,79914,0,8916
1503,79914,1,73013
1503,111281,0,9353
1503,111281,1,55691
1503,154960,0,5301
1503,154960,1,86288
1503,215783,0,6264
1503,215783,1,131870
1503,300479,0,7523
1503,300479,1,170946
1503,418419,0,8249
1503,418419,1,247823
1503,582651,0,9511
1503,582651,1,397959
1503,811344,0,7890
1503,811344,1,517565
1503,1128753,0,6148
1503,1128753,1,721255
1603,1602,0,4581
1603,1602,1,14
1603,1602,0,4594
1603,1602,1,16
1603,2238,0,4690
1603,2238,1,17
1603,3127,0,8147
1603,3127,1,48
1603,4369,0,6114
1603,4369,1,138
1603,6104,0,4480
1603,6104,1,411
1603,8528,0,4658
1603,8528,1,874
1603,11914,0,4508
1603,11914,1,2527
1603,16644,0,4895
1603,16644,1,4764
1603,23252,0,4776
1603,23252,1,7102
1603,32483,0,4497
1603,32483,1,12266
1603,45379,0,4709
1603,45379,1,19458
1603,63395,0,4791
1603,63395,1,28312
1603,88563,0,5110
1603,88563,1,44221
1603,123723,0,5607
1603,123723,1,69401
1603,172841,0,6858
1603,172841,1,110117
1603,241459,0,8157
1603,241459,1,154273
1603,337318,0,7895
1603,337318,1,190576
1603,471232,0,9180
1603,471232,1,323165
1603,658310,0,10776
1603,658310,1,473961
1603,919657,0,9107
1603,919657,1,650396
1603,1284003,0,6364
1603,1284003,1,849196
1703,1702,0,7109
1703,1702,1,10
1703,1702,0,5396
1703,1702,1,9
1703,2385,0,9926
1703,2385,1,27
1703,3342,0,5386
1703,3342,1,10
1703,4683,0,5586
1703,4683,1,99
1703,6562,0,5444
1703,6562,1,397
1703,9195,0,5163
1703,9195,1,958
1703,12885,0,5140
1703,12885,1,1956
1703,18055,0,4883
1703,18055,1,3573
1703,25300,0,4864
1703,25300,1,8434
1703,35452,0,4935
1703,35452,1,12631
1703,49677,0,5296
1703,49677,1,19408
1703,69609,0,5729
1703,69609,1,32674
1703,97539,0,6364
1703,97539,1,53909
1703,136675,0,6345
1703,136675,1,75506
1703,191514,0,6820
1703,191514,1,97500
1703,268356,0,7759
1703,268356,1,177311
1703,376029,0,9632
1703,376029,1,217988
1703,526903,0,10269
1703,526903,1,319617
1703,738312,0,12789
1703,738312,1,546173
1703,1034545,0,11629
1703,1034545,1,766245
1703,1449253,0,7470
1703,1449253,1,973915
1803,1802,0,7326
1803,1802,1,11
1803,1802,0,6031
1803,1802,1,23
1803,2533,0,8900
1803,2533,1,27
1803,3560,0,6024
1803,3560,1,18
1803,5003,0,6120
1803,5003,1,152
1803,7031,0,5632
1803,7031,1,467
1803,9881,0,5756
1803,9881,1,1989
1803,13886,0,6001
1803,13886,1,1449
1803,19514,0,5584
1803,19514,1,5264
1803,27422,0,5472
1803,27422,1,7759
1803,38535,0,5649
1803,38535,1,14300
1803,54151,0,6138
1803,54151,1,24312
1803,76095,0,6461
1803,76095,1,33416
1803,106932,0,6816
1803,106932,1,51389
1803,150265,0,7063
1803,150265,1,75176
1803,211158,0,7508
1803,211158,1,107075
1803,296727,0,9932
1803,296727,1,192077
1803,416971,0,10555
1803,416971,1,287278
1803,585942,0,22697
1803,585942,1,700701
1803,823385,0,26148
1803,823385,1,924986
1803,1157048,0,12224
1803,1157048,1,856508
1803,1624503,0,8018
1803,1624503,1,1241082
1903,1902,0,6616
1903,1902,1,9
1903,1902,0,6695
1903,1902,1,11
1903,2680,0,9877
1903,2680,1,62
1903,3777,0,6371
1903,3777,1,72
1903,5322,0,6551
1903,5322,1,93
1903,7499,0,6404
1903,7499,1,542
1903,10567,0,6248
1903,10567,1,891
1903,14890,0,6523
1903,14890,1,3648
1903,20981,0,6346
1903,20981,1,3959
1903,29563,0,6532
1903,29563,1,10677
1903,41656,0,6377
1903,41656,1,16012
1903,58695,0,6754
1903,58695,1,25134
1903,82704,0,6972
1903,82704,1,41157
1903,116533,0,7066
1903,116533,1,58243
1903,164199,0,7286
1903,164199,1,88223
1903,231362,0,11356
1903,231362,1,150717
1903,325997,0,9168
1903,325997,1,188421
1903,459340,0,11823
1903,459340,1,323328
1903,647225,0,12624
1903,647225,1,458817
1903,911960,0,14833
1903,911960,1,574064
1903,1284980,0,12616
1903,1284980,1,995382
1903,1809753,0,11831
1903,1809753,1,1219757
